# Mongolian
U+1800, \xe1\xa0\x80, MONGOLIAN BIRGA
U+1801, \xe1\xa0\x81, MONGOLIAN ELLIPSIS
U+1802, \xe1\xa0\x82, MONGOLIAN COMMA
U+1803, \xe1\xa0\x83, MONGOLIAN FULL STOP
U+1804, \xe1\xa0\x84, MONGOLIAN COLON
U+1805, \xe1\xa0\x85, MONGOLIAN FOUR DOTS
U+1806, \xe1\xa0\x86, MONGOLIAN TODO SOFT HYPHEN
U+1807, \xe1\xa0\x87, MONGOLIAN SIBE SYLLABLE BOUNDARY MARKER
U+1808, \xe1\xa0\x88, MONGOLIAN MANCHU COMMA
U+1809, \xe1\xa0\x89, MONGOLIAN MANCHU FULL STOP
U+180A, \xe1\xa0\x8a, MONGOLIAN NIRUGU
U+180B, \xe1\xa0\x8b, MONGOLIAN FREE VARIATION SELECTOR ONE
U+180C, \xe1\xa0\x8c, MONGOLIAN FREE VARIATION SELECTOR TWO
U+180D, \xe1\xa0\x8d, MONGOLIAN FREE VARIATION SELECTOR THREE
U+180E, \xe1\xa0\x8e, MONGOLIAN VOWEL SEPARATOR
U+1810, \xe1\xa0\x90, MONGOLIAN DIGIT ZERO
U+1811, \xe1\xa0\x91, MONGOLIAN DIGIT ONE
U+1812, \xe1\xa0\x92, MONGOLIAN DIGIT TWO
U+1813, \xe1\xa0\x93, MONGOLIAN DIGIT THREE
U+1814, \xe1\xa0\x94, MONGOLIAN DIGIT FOUR
U+1815, \xe1\xa0\x95, MONGOLIAN DIGIT FIVE
U+1816, \xe1\xa0\x96, MONGOLIAN DIGIT SIX
U+1817, \xe1\xa0\x97, MONGOLIAN DIGIT SEVEN
U+1818, \xe1\xa0\x98, MONGOLIAN DIGIT EIGHT
U+1819, \xe1\xa0\x99, MONGOLIAN DIGIT NINE
U+1820, \xe1\xa0\xa0, MONGOLIAN LETTER A
U+1821, \xe1\xa0\xa1, MONGOLIAN LETTER E
U+1822, \xe1\xa0\xa2, MONGOLIAN LETTER I
U+1823, \xe1\xa0\xa3, MONGOLIAN LETTER O
U+1824, \xe1\xa0\xa4, MONGOLIAN LETTER U
U+1825, \xe1\xa0\xa5, MONGOLIAN LETTER OE
U+1826, \xe1\xa0\xa6, MONGOLIAN LETTER UE
U+1827, \xe1\xa0\xa7, MONGOLIAN LETTER EE
U+1828, \xe1\xa0\xa8, MONGOLIAN LETTER NA
U+1829, \xe1\xa0\xa9, MONGOLIAN LETTER ANG
U+182A, \xe1\xa0\xaa, MONGOLIAN LETTER BA
U+182B, \xe1\xa0\xab, MONGOLIAN LETTER PA
U+182C, \xe1\xa0\xac, MONGOLIAN LETTER QA
U+182D, \xe1\xa0\xad, MONGOLIAN LETTER GA
U+182E, \xe1\xa0\xae, MONGOLIAN LETTER MA
U+182F, \xe1\xa0\xaf, MONGOLIAN LETTER LA
U+1830, \xe1\xa0\xb0, MONGOLIAN LETTER SA
U+1831, \xe1\xa0\xb1, MONGOLIAN LETTER SHA
U+1832, \xe1\xa0\xb2, MONGOLIAN LETTER TA
U+1833, \xe1\xa0\xb3, MONGOLIAN LETTER DA
U+1834, \xe1\xa0\xb4, MONGOLIAN LETTER CHA
U+1835, \xe1\xa0\xb5, MONGOLIAN LETTER JA
U+1836, \xe1\xa0\xb6, MONGOLIAN LETTER YA
U+1837, \xe1\xa0\xb7, MONGOLIAN LETTER RA
U+1838, \xe1\xa0\xb8, MONGOLIAN LETTER WA
U+1839, \xe1\xa0\xb9, MONGOLIAN LETTER FA
U+183A, \xe1\xa0\xba, MONGOLIAN LETTER KA
