# Limbu
U+1900, \xe1\xa4\x80, LIMBU VOWEL-CARRIER LETTER
U+1901, \xe1\xa4\x81, LIMBU LETTER KA
U+1902, \xe1\xa4\x82, LIMBU LETTER KHA
U+1903, \xe1\xa4\x83, LIMBU LETTER GA
U+1904, \xe1\xa4\x84, LIMBU LETTER GHA
U+1905, \xe1\xa4\x85, LIMBU LETTER NGA
U+1906, \xe1\xa4\x86, LIMBU LETTER CA
U+1907, \xe1\xa4\x87, LIMBU LETTER CHA
U+1908, \xe1\xa4\x88, LIMBU LETTER JA
U+1909, \xe1\xa4\x89, LIMBU LETTER JHA
U+190A, \xe1\xa4\x8a, LIMBU LETTER YAN
U+190B, \xe1\xa4\x8b, LIMBU LETTER TA
U+190C, \xe1\xa4\x8c, LIMBU LETTER THA
U+190D, \xe1\xa4\x8d, LIMBU LETTER DA
U+190E, \xe1\xa4\x8e, LIMBU LETTER DHA
U+190F, \xe1\xa4\x8f, LIMBU LETTER NA
U+1910, \xe1\xa4\x90, LIMBU LETTER PA
U+1911, \xe1\xa4\x91, LIMBU LETTER PHA
U+1912, \xe1\xa4\x92, LIMBU LETTER BA
U+1913, \xe1\xa4\x93, LIMBU LETTER BHA
U+1914, \xe1\xa4\x94, LIMBU LETTER MA
U+1915, \xe1\xa4\x95, LIMBU LETTER YA
U+1916, \xe1\xa4\x96, LIMBU LETTER RA
U+1917, \xe1\xa4\x97, LIMBU LETTER LA
U+1918, \xe1\xa4\x98, LIMBU LETTER WA
U+1919, \xe1\xa4\x99, LIMBU LETTER SHA
U+191A, \xe1\xa4\x9a, LIMBU LETTER SSA
U+191B, \xe1\xa4\x9b, LIMBU LETTER SA
U+191C, \xe1\xa4\x9c, LIMBU LETTER HA
U+1920, \xe1\xa4\xa0, LIMBU VOWEL SIGN A
U+1921, \xe1\xa4\xa1, LIMBU VOWEL SIGN I
U+1922, \xe1\xa4\xa2, LIMBU VOWEL SIGN U
U+1923, \xe1\xa4\xa3, LIMBU VOWEL SIGN EE
U+1924, \xe1\xa4\xa4, LIMBU VOWEL SIGN AI
U+1925, \xe1\xa4\xa5, LIMBU VOWEL SIGN OO
U+1926, \xe1\xa4\xa6, LIMBU VOWEL SIGN AU
U+1927, \xe1\xa4\xa7, LIMBU VOWEL SIGN E
U+1928, \xe1\xa4\xa8, LIMBU VOWEL SIGN O
U+1929, \xe1\xa4\xa9, LIMBU SUBJOINED LETTER YA
U+192A, \xe1\xa4\xaa, LIMBU SUBJOINED LETTER RA
U+192B, \xe1\xa4\xab, LIMBU SUBJOINED LETTER WA
U+1930, \xe1\xa4\xb0, LIMBU SMALL LETTER KA
U+1931, \xe1\xa4\xb1, LIMBU SMALL LETTER NGA
U+1932, \xe1\xa4\xb2, LIMBU SMALL LETTER ANUSVARA
U+1933, \xe1\xa4\xb3, LIMBU SMALL LETTER TA
U+1934, \xe1\xa4\xb4, LIMBU SMALL LETTER NA
U+1935, \xe1\xa4\xb5, LIMBU SMALL LETTER PA
U+1936, \xe1\xa4\xb6, LIMBU SMALL LETTER MA
U+1937, \xe1\xa4\xb7, LIMBU SMALL LETTER RA
U+1938, \xe1\xa4\xb8, LIMBU SMALL LETTER LA
U+1939, \xe1\xa4\xb9, LIMBU SIGN MUKPHRENG
U+193A, \xe1\xa4\xba, LIMBU SIGN KEMPHRENG
U+193B, \xe1\xa4\xbb, LIMBU SIGN SA-I
U+1940, \xe1\xa5\x80, LIMBU SIGN LOO
U+1944, \xe1\xa5\x84, LIMBU EXCLAMATION MARK
U+1945, \xe1\xa5\x85, LIMBU QUESTION MARK
U+1946, \xe1\xa5\x86, LIMBU DIGIT ZERO
U+1947, \xe1\xa5\x87, LIMBU DIGIT ONE
U+1948, \xe1\xa5\x88, LIMBU DIGIT TWO
U+1949, \xe1\xa5\x89, LIMBU DIGIT THREE
U+194A, \xe1\xa5\x8a, LIMBU DIGIT FOUR
