# Hangul Jamo
U+1100, \xe1\x84\x80, HANGUL CHOSEONG KIYEOK
U+1101, \xe1\x84\x81, HANGUL CHOSEONG SSANGKIYEOK
U+1102, \xe1\x84\x82, HANGUL CHOSEONG NIEUN
U+1103, \xe1\x84\x83, HANGUL CHOSEONG TIKEUT
U+1104, \xe1\x84\x84, HANGUL CHOSEONG SSANGTIKEUT
U+1105, \xe1\x84\x85, HANGUL CHOSEONG RIEUL
U+1106, \xe1\x84\x86, HANGUL CHOSEONG MIEUM
U+1107, \xe1\x84\x87, HANGUL CHOSEONG PIEUP
U+1108, \xe1\x84\x88, HANGUL CHOSEONG SSANGPIEUP
U+1109, \xe1\x84\x89, HANGUL CHOSEONG SIOS
U+110A, \xe1\x84\x8a, HANGUL CHOSEONG SSANGSIOS
U+110B, \xe1\x84\x8b, HANGUL CHOSEONG IEUNG
U+110C, \xe1\x84\x8c, HANGUL CHOSEONG CIEUC
U+110D, \xe1\x84\x8d, HANGUL CHOSEONG SSANGCIEUC
U+110E, \xe1\x84\x8e, HANGUL CHOSEONG CHIEUCH
U+110F, \xe1\x84\x8f, HANGUL CHOSEONG KHIEUKH
U+1110, \xe1\x84\x90, HANGUL CHOSEONG THIEUTH
U+1111, \xe1\x84\x91, HANGUL CHOSEONG PHIEUPH
U+1112, \xe1\x84\x92, HANGUL CHOSEONG HIEUH
U+1113, \xe1\x84\x93, HANGUL CHOSEONG NIEUN-KIYEOK
U+1114, \xe1\x84\x94, HANGUL CHOSEONG SSANGNIEUN
U+1115, \xe1\x84\x95, HANGUL CHOSEONG NIEUN-TIKEUT
U+1116, \xe1\x84\x96, HANGUL CHOSEONG NIEUN-PIEUP
U+1117, \xe1\x84\x97, HANGUL CHOSEONG TIKEUT-KIYEOK
U+1118, \xe1\x84\x98, HANGUL CHOSEONG RIEUL-NIEUN
U+1119, \xe1\x84\x99, HANGUL CHOSEONG SSANGRIEUL
U+111A, \xe1\x84\x9a, HANGUL CHOSEONG RIEUL-HIEUH
U+111B, \xe1\x84\x9b, HANGUL CHOSEONG KAPYEOUNRIEUL
U+111C, \xe1\x84\x9c, HANGUL CHOSEONG MIEUM-PIEUP
U+111D, \xe1\x84\x9d, HANGUL CHOSEONG KAPYEOUNMIEUM
U+111E, \xe1\x84\x9e, HANGUL CHOSEONG PIEUP-KIYEOK
U+111F, \xe1\x84\x9f, HANGUL CHOSEONG PIEUP-NIEUN
U+1120, \xe1\x84\xa0, HANGUL CHOSEONG PIEUP-TIKEUT
U+1121, \xe1\x84\xa1, HANGUL CHOSEONG PIEUP-SIOS
U+1122, \xe1\x84\xa2, HANGUL CHOSEONG PIEUP-SIOS-KIYEOK
U+1123, \xe1\x84\xa3, HANGUL CHOSEONG PIEUP-SIOS-TIKEUT
U+1124, \xe1\x84\xa4, HANGUL CHOSEONG PIEUP-SIOS-PIEUP
U+1125, \xe1\x84\xa5, HANGUL CHOSEONG PIEUP-SSANGSIOS
U+1126, \xe1\x84\xa6, HANGUL CHOSEONG PIEUP-SIOS-CIEUC
U+1127, \xe1\x84\xa7, HANGUL CHOSEONG PIEUP-CIEUC
U+1128, \xe1\x84\xa8, HANGUL CHOSEONG PIEUP-CHIEUCH
U+1129, \xe1\x84\xa9, HANGUL CHOSEONG PIEUP-THIEUTH
U+112A, \xe1\x84\xaa, HANGUL CHOSEONG PIEUP-PHIEUPH
U+112B, \xe1\x84\xab, HANGUL CHOSEONG KAPYEOUNPIEUP
U+112C, \xe1\x84\xac, HANGUL CHOSEONG KAPYEOUNSSANGPIEUP
U+112D, \xe1\x84\xad, HANGUL CHOSEONG SIOS-KIYEOK
U+112E, \xe1\x84\xae, HANGUL CHOSEONG SIOS-NIEUN
U+112F, \xe1\x84\xaf, HANGUL CHOSEONG SIOS-TIKEUT
U+1130, \xe1\x84\xb0, HANGUL CHOSEONG SIOS-RIEUL
U+1131, \xe1\x84\xb1, HANGUL CHOSEONG SIOS-MIEUM
U+1132, \xe1\x84\xb2, HANGUL CHOSEONG SIOS-PIEUP
U+1133, \xe1\x84\xb3, HANGUL CHOSEONG SIOS-PIEUP-KIYEOK
U+1134, \xe1\x84\xb4, HANGUL CHOSEONG SIOS-SSANGSIOS
