# Thaana
U+0780, \xde\x80, THAANA LETTER HAA
U+0781, \xde\x81, THAANA LETTER SHAVIYANI
U+0782, \xde\x82, THAANA LETTER NOONU
U+0783, \xde\x83, THAANA LETTER RAA
U+0784, \xde\x84, THAANA LETTER BAA
U+0785, \xde\x85, THAANA LETTER LHAVIYANI
U+0786, \xde\x86, THAANA LETTER KAAFU
U+0787, \xde\x87, THAANA LETTER ALIFU
U+0788, \xde\x88, THAANA LETTER VAAVU
U+0789, \xde\x89, THAANA LETTER MEEMU
U+078A, \xde\x8a, THAANA LETTER FAAFU
U+078B, \xde\x8b, THAANA LETTER DHAALU
U+078C, \xde\x8c, THAANA LETTER THAA
U+078D, \xde\x8d, THAANA LETTER LAAMU
U+078E, \xde\x8e, THAANA LETTER GAAFU
U+078F, \xde\x8f, THAANA LETTER GNAVIYANI
U+0790, \xde\x90, THAANA LETTER SEENU
U+0791, \xde\x91, THAANA LETTER DAVIYANI
U+0792, \xde\x92, THAANA LETTER ZAVIYANI
U+0793, \xde\x93, THAANA LETTER TAVIYANI
U+0794, \xde\x94, THAANA LETTER YAA
U+0795, \xde\x95, THAANA LETTER PAVIYANI
U+0796, \xde\x96, THAANA LETTER JAVIYANI
U+0797, \xde\x97, THAANA LETTER CHAVIYANI
U+0798, \xde\x98, THAANA LETTER TTAA
U+0799, \xde\x99, THAANA LETTER HHAA
U+079A, \xde\x9a, THAANA LETTER KHAA
U+079B, \xde\x9b, THAANA LETTER THAALU
U+079C, \xde\x9c, THAANA LETTER ZAA
U+079D, \xde\x9d, THAANA LETTER SHEENU
U+079E, \xde\x9e, THAANA LETTER SAADHU
U+079F, \xde\x9f, THAANA LETTER DAADHU
U+07A0, \xde\xa0, THAANA LETTER TO
U+07A1, \xde\xa1, THAANA LETTER ZO
U+07A2, \xde\xa2, THAANA LETTER AINU
U+07A3, \xde\xa3, THAANA LETTER GHAINU
U+07A4, \xde\xa4, THAANA LETTER QAAFU
U+07A5, \xde\xa5, THAANA LETTER WAAVU
U+07A6, \xde\xa6, THAANA ABAFILI
U+07A7, \xde\xa7, THAANA AABAAFILI
U+07A8, \xde\xa8, THAANA IBIFILI
U+07A9, \xde\xa9, THAANA EEBEEFILI
U+07AA, \xde\xaa, THAANA UBUFILI
U+07AB, \xde\xab, THAANA OOBOOFILI
U+07AC, \xde\xac, THAANA EBEFILI
