# Ugaritic
U+10380, \xf0\x90\x8e\x80, UGARITIC LETTER ALPA
U+10381, \xf0\x90\x8e\x81, UGARITIC LETTER BETA
U+10382, \xf0\x90\x8e\x82, UGARITIC LETTER GAMLA
U+10383, \xf0\x90\x8e\x83, UGARITIC LETTER KHA
U+10384, \xf0\x90\x8e\x84, UGARITIC LETTER DELTA
U+10385, \xf0\x90\x8e\x85, UGARITIC LETTER HO
U+10386, \xf0\x90\x8e\x86, UGARITIC LETTER WO
U+10387, \xf0\x90\x8e\x87, UGARITIC LETTER ZETA
U+10388, \xf0\x90\x8e\x88, UGARITIC LETTER HOTA
U+10389, \xf0\x90\x8e\x89, UGARITIC LETTER TET
U+1038A, \xf0\x90\x8e\x8a, UGARITIC LETTER YOD
U+1038B, \xf0\x90\x8e\x8b, UGARITIC LETTER KAF
U+1038C, \xf0\x90\x8e\x8c, UGARITIC LETTER SHIN
U+1038D, \xf0\x90\x8e\x8d, UGARITIC LETTER LAMDA
U+1038E, \xf0\x90\x8e\x8e, UGARITIC LETTER MEM
U+1038F, \xf0\x90\x8e\x8f, UGARITIC LETTER DHAL
U+10390, \xf0\x90\x8e\x90, UGARITIC LETTER NUN
U+10391, \xf0\x90\x8e\x91, UGARITIC LETTER ZU
U+10392, \xf0\x90\x8e\x92, UGARITIC LETTER SAMKA
U+10393, \xf0\x90\x8e\x93, UGARITIC LETTER AIN
U+10394, \xf0\x90\x8e\x94, UGARITIC LETTER PU
U+10395, \xf0\x90\x8e\x95, UGARITIC LETTER SADE
U+10396, \xf0\x90\x8e\x96, UGARITIC LETTER QOPA
U+10397, \xf0\x90\x8e\x97, UGARITIC LETTER RASHA
U+10398, \xf0\x90\x8e\x98, UGARITIC LETTER THANNA
U+10399, \xf0\x90\x8e\x99, UGARITIC LETTER GHAIN
U+1039A, \xf0\x90\x8e\x9a, UGARITIC LETTER TO
U+1039B, \xf0\x90\x8e\x9b, UGARITIC LETTER I
U+1039C, \xf0\x90\x8e\x9c, UGARITIC LETTER U
U+1039D, \xf0\x90\x8e\x9d, UGARITIC LETTER SSU
U+1039F, \xf0\x90\x8e\x9f, UGARITIC WORD DIVIDER
U+103A0, \xf0\x90\x8e\xa0, OLD PERSIAN SIGN A
U+103A1, \xf0\x90\x8e\xa1, OLD PERSIAN SIGN I
U+103A2, \xf0\x90\x8e\xa2, OLD PERSIAN SIGN U
U+103A3, \xf0\x90\x8e\xa3, OLD PERSIAN SIGN KA
U+103A4, \xf0\x90\x8e\xa4, OLD PERSIAN SIGN KU
U+103A5, \xf0\x90\x8e\xa5, OLD PERSIAN SIGN GA
U+103A6, \xf0\x90\x8e\xa6, OLD PERSIAN SIGN GU
U+103A7, \xf0\x90\x8e\xa7, OLD PERSIAN SIGN XA
U+103A8, \xf0\x90\x8e\xa8, OLD PERSIAN SIGN CA
U+103A9, \xf0\x90\x8e\xa9, OLD PERSIAN SIGN JA
U+103AA, \xf0\x90\x8e\xaa, OLD PERSIAN SIGN JI
U+103AB, \xf0\x90\x8e\xab, OLD PERSIAN SIGN TA
U+103AC, \xf0\x90\x8e\xac, OLD PERSIAN SIGN TU
U+103AD, \xf0\x90\x8e\xad, OLD PERSIAN SIGN DA
U+103AE, \xf0\x90\x8e\xae, OLD PERSIAN SIGN DI
U+103AF, \xf0\x90\x8e\xaf, OLD PERSIAN SIGN DU
U+103B0, \xf0\x90\x8e\xb0, OLD PERSIAN SIGN THA
U+103B1, \xf0\x90\x8e\xb1, OLD PERSIAN SIGN PA
U+103B2, \xf0\x90\x8e\xb2, OLD PERSIAN SIGN BA
U+103B3, \xf0\x90\x8e\xb3, OLD PERSIAN SIGN FA
U+103B4, \xf0\x90\x8e\xb4, OLD PERSIAN SIGN NA
U+103B5, \xf0\x90\x8e\xb5, OLD PERSIAN SIGN NU
U+103B6, \xf0\x90\x8e\xb6, OLD PERSIAN SIGN MA
U+103B7, \xf0\x90\x8e\xb7, OLD PERSIAN SIGN MI
U+103B8, \xf0\x90\x8e\xb8, OLD PERSIAN SIGN MU
U+103B9, \xf0\x90\x8e\xb9, OLD PERSIAN SIGN YA
U+103BA, \xf0\x90\x8e\xba, OLD PERSIAN SIGN VA
U+103BB, \xf0\x90\x8e\xbb, OLD PERSIAN SIGN VI
U+103BC, \xf0\x90\x8e\xbc, OLD PERSIAN SIGN RA
U+103BD, \xf0\x90\x8e\xbd, OLD PERSIAN SIGN RU
U+103BE, \xf0\x90\x8e\xbe, OLD PERSIAN SIGN LA
U+103BF, \xf0\x90\x8e\xbf, OLD PERSIAN SIGN SA
U+103C0, \xf0\x90\x8f\x80, OLD PERSIAN SIGN ZA
U+103C1, \xf0\x90\x8f\x81, OLD PERSIAN SIGN SHA
U+103C2, \xf0\x90\x8f\x82, OLD PERSIAN SIGN SSA
